paster_id,paster_timeslot,prev_water_temp,prev_can_temp,curr_water_temp,bath_number,curr_bath_temp,curr_can_temp
152,20,33.97,29.07,36.14,1,40.3312,29.2
152,30,36.14,29.2,37.67,1,40.3312,29.39
152,40,37.67,29.39,38.4,1,40.3312,29.48
152,50,38.4,29.48,38.8,1,40.2812,29.54
152,60,38.8,29.54,39.11,1,40.2562,29.58
152,70,39.11,29.58,39.38,1,40.25,29.72
152,80,39.38,29.72,39.41,1,40.2,29.91
152,90,39.41,29.91,39.27,1,40.15,30.14
152,100,39.27,30.14,39.18,1,40.15,30.44
152,110,39.18,30.44,39.5,1,40.1312,30.76
152,120,39.5,30.76,40.1,1,40.125,31.09
152,130,40.1,31.09,40.45,1,40.0688,31.42
152,140,40.45,31.42,40.75,1,40.0688,31.78
152,150,40.75,31.78,42.11,1,40.0688,32.16
152,160,42.11,32.16,45.99,1,40.025,32.59
152,170,45.99,32.59,47.43,2,55.15,33.05
152,180,47.43,33.05,49.01,2,54.4187,33.54
152,190,49.01,33.54,50.28,2,54.1812,34.06
152,200,50.28,34.06,51.73,2,54.8437,34.66
152,210,51.73,34.66,52.87,2,55.4375,35.33
152,220,52.87,35.33,53.3,2,55.3,36.06
152,230,53.3,36.06,52.9,2,54.475,36.81
152,240,52.9,36.81,52.56,2,54.1313,37.53
152,250,52.56,37.53,53.31,2,54.6375,38.22
152,260,53.31,38.22,54.06,2,55.425,38.93
152,270,54.06,38.93,54.43,2,55.4688,39.69
152,280,54.43,39.69,53.89,2,54.6437,40.48
152,290,53.89,40.48,53.22,2,54.1562,41.27
152,300,53.22,41.27,53.66,2,54.5812,42.0
152,310,53.66,42.0,54.54,2,55.2437,42.71
152,320,54.54,42.71,54.76,2,55.475,43.4
152,330,54.76,43.4,54.42,2,54.8312,44.04
152,340,54.42,44.04,53.6,3,62.5438,44.61
152,350,53.6,44.61,53.29,3,61.8,45.11
152,360,53.29,45.11,53.41,3,62.15,45.57
152,370,53.41,45.57,53.51,3,62.9,46.01
